Date,Time of day start,Site,Exposure,Camera,Mean flow,FOV,Segment,Video number,Time of video analyzed,Observer,Date Processed,Species,Length,Bites,Notes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,5,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,4,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,10,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,STBE,10,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,STBE,10,5,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,7,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
